IQ,CGPA,Semester,Gender,Day_Boarder,Placed
94,5.13,5,Male,Yes,No
97,8.68,2,Female,Yes,No
107,6.16,1,Male,No,No
108,7.25,5,Male,Yes,No
134,6.7,3,Male,No,No
128,5.48,6,Female,Yes,No
138,7.68,7,Male,No,Yes
126,7.89,2,Male,Yes,Yes
117,9.93,4,Male,No,Yes
115,7.27,6,Male,No,Yes
114,8.51,2,Male,Yes,No
128,6.35,4,Female,Yes,No
84,9.03,7,Female,Yes,No
107,9.57,6,Male,No,Yes
130,9.42,8,Male,No,Yes
97,6.23,5,Female,No,No
126,6.1,3,Female,Yes,No
86,9.31,3,Male,No,Yes
129,6.91,8,Female,Yes,Yes
94,8.41,5,Female,Yes,No
117,7.17,8,Male,No,Yes
102,7.54,2,Female,Yes,No
99,6.87,3,Male,No,No
142,5.1,6,Female,Yes,No
90,5.43,8,Male,Yes,No
96,8.3,3,Female,No,No
107,9.64,4,Female,No,Yes
127,7.19,8,Male,Yes,No
123,5.11,4,Male,Yes,No
89,8.54,1,Male,Yes,No
84,9.3,2,Male,No,Yes
107,7.7,8,Male,No,Yes
104,5.47,7,Female,No,No
132,7.34,1,Male,Yes,Yes
131,8.64,2,Male,Yes,Yes
104,7.68,3,Female,Yes,No
115,7.31,2,Female,Yes,No
149,9.18,2,Male,Yes,Yes
132,7.43,4,Female,Yes,Yes
101,6.89,7,Female,No,No
116,7.12,8,Male,Yes,No
87,7.9,1,Female,Yes,No
86,7.92,3,Male,Yes,No
103,5.34,2,Male,No,No
95,9.71,4,Male,Yes,Yes
146,6.58,5,Male,No,Yes
110,6.33,3,Female,No,No
120,9.65,2,Male,No,Yes
92,5.37,4,Female,Yes,No
124,9.4,4,Female,No,Yes
100,7.19,5,Male,No,No
93,9.69,3,Female,Yes,Yes
150,5.78,5,Male,No,No
113,7.53,5,Male,Yes,Yes
115,5.22,6,Male,No,No
100,8.71,7,Male,Yes,No
99,7.73,6,Male,No,No
96,5.21,6,Male,No,No
106,8.41,2,Female,No,Yes
99,9.63,4,Male,Yes,Yes
83,5.9,6,Female,Yes,No
114,5.8,2,Female,Yes,No
140,6.11,8,Female,No,Yes
109,6.11,4,Female,No,No
115,9.32,5,Female,No,Yes
148,6.66,1,Male,No,Yes
102,7.9,5,Male,Yes,No
135,6.73,6,Female,Yes,Yes
104,6.27,7,Male,Yes,No
126,7.16,6,Female,Yes,Yes
118,7.54,7,Female,No,Yes
150,5.64,7,Female,Yes,Yes
118,7.03,1,Female,No,No
121,7.32,8,Male,No,Yes
101,8.29,5,Female,Yes,Yes
110,8.36,4,Male,Yes,No
111,9.92,2,Female,No,Yes
104,8.59,7,Female,No,No
80,9.46,2,Female,Yes,No
102,9.02,8,Male,Yes,Yes
95,7.28,8,Female,No,No
144,7.13,8,Male,No,Yes
137,6.3,4,Female,No,Yes
115,7.2,5,Male,No,Yes
149,5.4,3,Male,No,Yes
107,5.32,7,Female,No,No
133,5.31,7,Female,Yes,No
128,7.38,6,Female,No,Yes
133,7.69,4,Female,Yes,Yes
114,7.18,1,Female,No,Yes
131,8.62,8,Male,Yes,Yes
130,7.96,1,Male,No,Yes
97,9.33,3,Male,No,Yes
107,7.27,6,Female,No,No
133,6.26,2,Female,Yes,Yes
86,10.0,6,Male,Yes,Yes
85,8.77,4,Male,Yes,No
99,6.19,8,Male,Yes,No
139,8.5,6,Male,Yes,Yes
100,9.82,2,Male,No,Yes
128,6.98,4,Male,Yes,No
118,9.25,2,Male,No,Yes
148,7.14,6,Male,No,Yes
81,9.25,8,Male,No,No
126,8.18,8,Male,No,Yes
102,8.67,5,Female,No,Yes
114,6.61,4,Male,No,No
137,6.22,8,Female,No,No
121,5.91,4,Female,No,No
123,6.4,5,Male,Yes,No
90,6.21,7,Female,Yes,No
140,8.23,8,Female,Yes,Yes
91,6.47,7,Male,No,No
127,7.37,6,Female,No,Yes
138,6.35,5,Male,Yes,Yes
120,5.6,3,Male,Yes,No
141,6.38,5,Male,Yes,No
126,5.9,1,Male,No,No
85,9.87,5,Male,No,No
81,7.87,8,Female,No,No
123,5.92,1,Female,No,No
94,9.11,7,Female,Yes,Yes
86,5.76,5,Male,Yes,No
95,7.79,7,Male,No,No
137,9.54,5,Female,No,Yes
87,8.05,2,Male,Yes,No
113,8.3,3,Male,Yes,Yes
100,5.01,8,Female,No,No
84,6.16,5,Female,Yes,No
109,9.62,4,Female,Yes,Yes
149,6.12,3,Female,Yes,Yes
89,5.3,5,Female,No,No
95,7.34,5,Female,No,No
144,7.7,8,Male,Yes,Yes
135,8.67,5,Male,Yes,Yes
109,9.81,1,Female,Yes,Yes
102,7.35,8,Female,Yes,No
135,8.17,8,Male,No,Yes
124,7.04,6,Male,Yes,Yes
143,6.44,7,Male,No,No
112,6.62,7,Male,No,No
132,5.27,6,Female,No,No
86,6.02,3,Female,No,No
142,5.61,4,Male,No,Yes
150,7.04,4,Male,No,Yes
95,8.24,3,Female,No,No
145,8.53,7,Female,No,Yes
111,7.28,3,Female,Yes,No
145,8.73,3,Male,No,Yes
133,6.7,5,Male,No,Yes
